arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\sklearn\compose\_column_transformer.py,make_column_selector,2,1,0,7,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\_target.py,TransformedTargetRegressor,6,1,0,30,0,12
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,Trans,2,1,1,5,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,DoubleTrans,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,SparseMatrixTrans,3,1,0,6,0,3
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransNo2D,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransRaise,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransWithNames,2,2,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,PandasOutTransformer,4,1,0,6,0,6
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyCheckerArrayTransformer,3,1,0,4,0,3
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyCheckerListRegressor,2,1,0,6,2,0
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyTransformer,4,1,0,4,0,6
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyRegressorWithExtraFitParams,1,1,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyRegressorWithExtraPredictParams,1,1,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_elliptic_envelope.py,EllipticEnvelope,6,1,0,18,0,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_empirical_covariance.py,EmpiricalCovariance,7,1,0,27,0,18
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,BaseGraphicalLasso,1,1,2,4,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLasso,2,2,0,12,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLassoCV,2,2,0,40,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_robust_covariance.py,MinCovDet,4,1,0,26,0,3
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,ShrunkCovariance,2,1,0,11,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,LedoitWolf,2,1,0,10,1,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,OAS,1,1,0,7,0,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,_PLS,7,1,3,34,2,20
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSRegression,2,2,0,5,2,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSCanonical,1,2,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,CCA,1,2,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSSVD,4,1,0,18,2,5
clones/scikit-learn/scikit-learn\sklearn\datasets\_openml.py,OpenMLError,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\datasets\tests\test_base.py,_DummyPath,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\datasets\tests\test_openml.py,_MockHTTPResponse,7,1,0,10,0,20
clones/scikit-learn/scikit-learn\sklearn\decomposition\_base.py,_BasePCA,6,1,0,19,0,14
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,_BaseSparseCoding,3,1,3,11,0,2
