arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_decision_regions.py,77,36,38,3,19,17,0.0,84.32571336969463
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_probas.py,86,35,43,9,19,18,0.0,81.12164839648815
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_regressor.py,90,34,33,19,19,19,0.0,100.0
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_diabetes.py,79,47,45,9,8,17,0.0,78.1813122131011
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_digits.py,42,27,25,1,8,8,0.0,85.12650840199022
clones/scikit-learn/scikit-learn\examples\exercises\plot_digits_classification_exercise.py,32,18,14,0,10,8,0.0,88.21581960356305
clones/scikit-learn/scikit-learn\examples\exercises\plot_iris_exercise.py,67,50,40,3,8,16,0.0,75.36284007770463
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection.py,98,40,47,12,18,21,0.0,79.92996545336628
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection_pipeline.py,40,19,19,4,9,8,0.0,98.80361971046804
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_f_test_vs_mi.py,49,23,21,0,18,10,0.0,82.54010074365873
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_permutation_test_for_classification.py,136,33,36,72,8,20,0.0,100.0
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_digits.py,36,17,16,3,9,8,0.0,99.42807368665433
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_with_cross_validation.py,42,18,23,6,7,7,0.0,93.38369232251456
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_select_from_model_diabetes.py,142,34,38,70,15,19,0.0,55.79469680431169
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_compare_gpr_krr.py,121,51,54,8,42,18,0.0,71.44558263419127
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc.py,102,56,59,7,19,17,0.0,75.20293404698354
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_iris.py,63,39,37,8,9,11,0.0,80.1302968708963
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_isoprobability.py,102,50,58,12,9,23,1.0,73.15108868699532
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_xor.py,58,30,33,5,10,10,0.0,81.72650409672447
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_co2.py,156,61,69,15,50,28,4.0,66.38120301745722
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy.py,97,56,63,6,16,12,0.0,71.59812838186531
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy_targets.py,113,47,50,22,15,25,1.0,75.17783366269292
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,174,76,87,1,51,35,3.0,68.71897813037671
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_prior_posterior.py,78,44,50,7,8,13,0.0,74.07454229448523
clones/scikit-learn/scikit-learn\examples\impute\plot_iterative_imputer_variants_comparison.py,134,50,74,10,32,19,0.0,89.5312772407921
clones/scikit-learn/scikit-learn\examples\impute\plot_missing_values.py,290,98,122,72,23,74,1.0,70.89070417847068
clones/scikit-learn/scikit-learn\examples\inspection\plot_linear_model_coefficient_interpretation.py,671,181,273,276,25,97,0.0,58.01733239453966
clones/scikit-learn/scikit-learn\examples\inspection\plot_partial_dependence.py,264,69,95,113,28,29,0.0,64.37815954582074
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance.py,174,54,67,63,20,24,0.0,73.73459780451788
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance_multicollinear.py,114,54,56,28,16,14,0.0,85.27690719381197
clones/scikit-learn/scikit-learn\examples\kernel_approximation\plot_scalable_poly_kernels.py,186,62,76,58,17,36,0.0,70.23268147312223
clones/scikit-learn/scikit-learn\examples\linear_model\plot_ard.py,116,60,64,14,18,20,1.0,77.16433801393153
clones/scikit-learn/scikit-learn\examples\linear_model\plot_bayesian_ridge.py,114,61,65,13,18,19,1.0,76.88529695558985
clones/scikit-learn/scikit-learn\examples\linear_model\plot_bayesian_ridge_curvefit.py,86,39,40,9,20,18,1.0,77.40176859535272
clones/scikit-learn/scikit-learn\examples\linear_model\plot_huber_vs_ridge.py,64,39,35,6,11,12,0.0,77.15145606512597
clones/scikit-learn/scikit-learn\examples\linear_model\plot_iris_logistic.py,58,31,26,13,9,12,0.0,84.24960167978446
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_and_elasticnet.py,76,40,42,10,8,17,0.0,76.84777614026079
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_coordinate_descent_path.py,89,51,54,6,8,23,0.0,74.60633799595533
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_dense_vs_sparse_data.py,66,36,37,4,7,18,0.0,75.81189098740356
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_lars.py,40,19,18,4,9,9,0.0,93.22778234378166
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_model_selection.py,151,61,69,15,37,31,1.0,72.38031365375254
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic.py,65,36,35,7,8,15,0.0,79.16456097784085
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic_l1_l2_sparsity.py,89,42,47,10,13,20,0.0,77.99377539383485
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic_multinomial.py,71,40,41,11,8,12,1.0,77.57688507121188
