arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_decision_regions.py,77,35,38,3,19,17,0.0,84.5925953620107
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_probas.py,95,34,52,9,19,18,0.0,81.50905570114169
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_regressor.py,88,33,31,19,19,19,0.0,100.0
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_diabetes.py,80,46,46,9,8,17,0.0,78.26315593938497
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_digits.py,42,26,24,1,8,9,0.0,85.71609163060468
clones/scikit-learn/scikit-learn\examples\exercises\plot_digits_classification_exercise.py,34,17,15,0,10,9,0.0,89.01801841173621
clones/scikit-learn/scikit-learn\examples\exercises\plot_iris_exercise.py,74,49,47,3,8,16,0.0,74.31821748871256
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection.py,105,39,53,12,18,22,0.0,80.27248735947946
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection_pipeline.py,87,20,25,35,8,19,0.0,78.068086679343
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_f_test_vs_mi.py,48,22,19,0,18,11,0.0,81.84927020908745
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_digits.py,35,16,24,4,0,8,0.0,93.37944675798623
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_with_cross_validation.py,53,17,34,5,7,8,0.0,92.255786574641
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_select_from_model_diabetes.py,145,33,42,70,15,18,0.0,59.96291326709259
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_compare_gpr_krr.py,395,92,204,136,21,34,0.0,68.81426992518041
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc.py,130,55,86,7,19,18,0.0,73.24945444342917
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_iris.py,62,38,35,8,9,12,0.0,80.5452566904482
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_isoprobability.py,100,49,56,11,9,24,1.0,73.26225901223243
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_xor.py,62,29,36,5,10,11,0.0,81.69621243703362
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_co2.py,218,50,67,103,18,30,0.0,55.061761940627825
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy.py,188,66,91,68,9,20,2.0,72.54226454010113
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy_targets.py,153,41,64,55,15,19,0.0,73.36620274725853
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,188,75,99,1,51,37,3.0,68.78892295496797
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_prior_posterior.py,258,102,129,56,25,48,2.0,69.39436981483196
clones/scikit-learn/scikit-learn\examples\impute\plot_iterative_imputer_variants_comparison.py,129,49,68,10,32,20,0.0,89.67546702556231
clones/scikit-learn/scikit-learn\examples\impute\plot_missing_values.py,310,102,138,73,23,77,1.0,71.11542860456902
clones/scikit-learn/scikit-learn\examples\inspection\plot_linear_model_coefficient_interpretation.py,684,180,287,276,25,96,0.0,59.316910108340096
clones/scikit-learn/scikit-learn\examples\inspection\plot_partial_dependence.py,286,70,116,112,28,30,0.0,69.57743669997161
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance.py,179,53,70,63,20,26,0.0,74.86434448957208
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance_multicollinear.py,128,57,63,31,16,18,0.0,78.50521050429124
clones/scikit-learn/scikit-learn\examples\kernel_approximation\plot_scalable_poly_kernels.py,230,61,118,58,17,38,0.0,73.69818272078172
clones/scikit-learn/scikit-learn\examples\linear_model\plot_ard.py,119,59,66,14,18,21,1.0,77.2473382789051
clones/scikit-learn/scikit-learn\examples\linear_model\plot_bayesian_ridge.py,121,60,71,13,18,20,1.0,76.73494177029559
clones/scikit-learn/scikit-learn\examples\linear_model\plot_bayesian_ridge_curvefit.py,88,38,41,9,20,19,1.0,77.7628520174572
clones/scikit-learn/scikit-learn\examples\linear_model\plot_elastic_net_precomputed_gram_matrix_with_weighted_samples.py,51,16,14,12,14,11,0.0,71.40578219094577
clones/scikit-learn/scikit-learn\examples\linear_model\plot_huber_vs_ridge.py,64,38,35,6,11,12,0.0,77.39753962052527
clones/scikit-learn/scikit-learn\examples\linear_model\plot_iris_logistic.py,55,30,25,12,9,11,0.0,84.62637227831664
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_and_elasticnet.py,89,39,55,10,8,17,0.0,75.61162489880782
