arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regression.py,155,44,63,59,13,20,0.0,77.68807824415349
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regularization.py,91,27,49,5,18,19,0.0,88.94241331287425
clones/scikit-learn/scikit-learn\examples\ensemble\plot_isolation_forest.py,123,40,48,42,13,22,0.0,73.71290140839105
clones/scikit-learn/scikit-learn\examples\ensemble\plot_monotonic_constraints.py,108,33,50,21,16,21,0.0,79.63152717001675
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_embedding.py,108,60,53,10,22,23,0.0,76.87685005184616
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_regression_multioutput.py,97,34,60,6,17,14,0.0,79.86109787242808
clones/scikit-learn/scikit-learn\examples\ensemble\plot_stack_predictors.py,259,75,122,74,13,50,1.0,75.79852655584277
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_decision_regions.py,70,28,35,3,19,13,0.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_probas.py,94,33,51,9,19,18,0.0,81.81047070104071
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_regressor.py,90,31,33,19,19,19,0.0,100.0
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_diabetes.py,90,46,46,15,8,21,0.0,79.50417767545905
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_digits.py,43,26,24,1,8,10,0.0,85.71609163060468
clones/scikit-learn/scikit-learn\examples\exercises\plot_digits_classification_exercise.py,34,17,15,0,10,9,0.0,89.01801841173621
clones/scikit-learn/scikit-learn\examples\exercises\plot_iris_exercise.py,75,49,47,3,8,17,0.0,74.31821748871256
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection.py,132,44,60,34,14,24,0.0,77.64044305105477
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection_pipeline.py,83,18,23,35,8,17,0.0,75.90960066755807
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_f_test_vs_mi.py,49,22,19,0,18,12,0.0,81.84927020908745
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_digits.py,36,16,24,4,0,9,0.0,93.37944675798623
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_with_cross_validation.py,89,20,40,29,7,14,0.0,93.732295836939
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_select_from_model_diabetes.py,195,53,69,86,15,25,0.0,65.3843066626772
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_compare_gpr_krr.py,397,92,204,136,21,36,0.0,68.81426992518041
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc.py,128,55,86,7,19,16,0.0,73.24945444342917
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_iris.py,63,38,35,8,9,13,0.0,80.5452566904482
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_isoprobability.py,99,50,57,10,9,23,1.0,72.6458883393339
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_xor.py,61,29,36,5,10,10,0.0,81.69621243703362
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_co2.py,219,50,67,103,18,31,0.0,55.061761940627825
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy.py,192,66,95,68,9,20,2.0,72.90961231687878
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy_targets.py,153,41,64,55,15,19,0.0,73.36620274725853
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,187,72,99,11,39,38,3.0,69.10441215670006
