arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\django\contrib\admindocs\utils.py,244,132,169,12,26,35,3.272727272727273,54.44855720844205
clones/django/django\django\contrib\admindocs\views.py,498,252,403,28,18,48,6.782608695652174,33.724202739786506
clones/django/django\django\contrib\admindocs\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\auth\admin.py,232,111,188,18,8,18,2.909090909090909,54.50580684190502
clones/django/django\django\contrib\auth\apps.py,30,21,24,1,0,5,2.5,100.0
clones/django/django\django\contrib\auth\backends.py,233,132,133,6,52,42,2.4642857142857144,55.783838898337855
clones/django/django\django\contrib\auth\base_user.py,160,93,97,5,25,31,1.5238095238095237,68.8143366808408
clones/django/django\django\contrib\auth\checks.py,220,64,195,11,0,14,14.0,51.71235818261041
clones/django/django\django\contrib\auth\context_processors.py,67,35,35,6,9,17,1.3076923076923077,84.80348774247443
clones/django/django\django\contrib\auth\decorators.py,82,45,49,5,15,13,1.3333333333333333,78.40497382985286
clones/django/django\django\contrib\auth\hashers.py,682,334,430,26,113,114,2.0163934426229506,36.09043867718993
clones/django/django\django\contrib\auth\middleware.py,137,65,74,18,26,20,3.3333333333333335,75.32741823928316
clones/django/django\django\contrib\auth\mixins.py,135,74,81,2,27,23,2.4,67.98704485308708
clones/django/django\django\contrib\auth\models.py,500,241,306,8,90,95,1.7307692307692308,48.98164411584339
clones/django/django\django\contrib\auth\password_validation.py,266,132,161,0,57,48,2.652173913043478,57.817660000495124
clones/django/django\django\contrib\auth\signals.py,5,4,4,0,0,1,0.0,100.0
clones/django/django\django\contrib\auth\tokens.py,132,63,76,9,24,24,2.25,70.6979683299865
clones/django/django\django\contrib\auth\urls.py,36,3,30,4,0,2,0.0,100.0
clones/django/django\django\contrib\auth\validators.py,25,14,20,0,0,5,1.0,100.0
clones/django/django\django\contrib\auth\views.py,379,238,279,17,12,65,2.051282051282051,42.536817850222874
clones/django/django\django\contrib\auth\__init__.py,272,156,169,17,34,47,3.176470588235294,56.02076141031907
clones/django/django\django\contrib\auth\handlers\modwsgi.py,43,29,27,2,8,6,3.5,89.52418439889678
clones/django/django\django\contrib\auth\handlers\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\auth\management\__init__.py,175,80,110,19,22,24,4.6,70.57880115006422
clones/django/django\django\contrib\auth\management\commands\changepassword.py,81,53,67,2,0,13,4.5,54.82538262929321
clones/django/django\django\contrib\auth\management\commands\createsuperuser.py,311,176,270,14,7,20,8.2,36.26739915200208
clones/django/django\django\contrib\auth\management\commands\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\auth\migrations\0001_initial.py,204,8,201,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py,15,4,12,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0003_alter_user_email_max_length.py,17,4,14,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0004_alter_user_username_opts.py,27,6,23,1,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0005_alter_user_last_login_null.py,17,4,14,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0006_require_contenttypes_0002.py,13,4,10,2,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0007_alter_validators_add_error_messages.py,26,6,23,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0008_alter_user_username_max_length.py,26,6,23,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0009_alter_user_last_name_max_length.py,17,4,14,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0010_alter_group_name_max_length.py,15,4,12,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0011_update_proxy_permissions.py,76,37,58,0,8,10,3.3333333333333335,75.3964211872997
clones/django/django\django\contrib\auth\migrations\0012_alter_user_first_name_max_length.py,17,4,14,0,0,3,1.0,100.0
clones/django/django\django\contrib\auth\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\admin.py,143,53,117,8,0,18,5.571428571428571,57.79794292536405
clones/django/django\django\contrib\contenttypes\apps.py,22,15,18,0,0,4,1.5,100.0
clones/django/django\django\contrib\contenttypes\checks.py,46,24,40,0,0,6,6.0,57.08202981943734
clones/django/django\django\contrib\contenttypes\fields.py,847,430,637,46,48,115,2.27027027027027,32.645019198793115
clones/django/django\django\contrib\contenttypes\forms.py,133,44,115,2,8,9,2.5,61.69740636997708
clones/django/django\django\contrib\contenttypes\models.py,193,118,127,17,24,23,2.111111111111111,68.4309137525376
clones/django/django\django\contrib\contenttypes\prefetch.py,36,23,31,1,0,4,4.0,65.86161694766764
clones/django/django\django\contrib\contenttypes\views.py,88,56,61,15,3,9,19.0,70.61363071793025
clones/django/django\django\contrib\contenttypes\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\management\__init__.py,145,85,108,10,7,20,4.5,59.823314265070465
clones/django/django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,112,54,97,1,3,11,6.0,56.099436997850894
clones/django/django\django\contrib\contenttypes\management\commands\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\0001_initial.py,45,6,42,0,0,3,1.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py,42,14,37,0,0,5,2.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\admin.py,22,12,20,0,0,2,1.0,100.0
clones/django/django\django\contrib\flatpages\apps.py,8,6,6,0,0,2,1.0,100.0
clones/django/django\django\contrib\flatpages\middleware.py,20,16,16,3,0,2,5.5,91.0389848958784
clones/django/django\django\contrib\flatpages\sitemaps.py,14,10,12,0,0,2,2.5,75.67471120151156
clones/django/django\django\contrib\flatpages\urls.py,6,3,5,0,0,1,0.0,100.0
clones/django/django\django\contrib\flatpages\views.py,70,38,35,13,12,10,4.5,79.82553401187087
clones/django/django\django\contrib\flatpages\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\templatetags\flatpages.py,101,55,58,7,19,17,4.75,73.22980975429192
clones/django/django\django\contrib\flatpages\templatetags\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\apps.py,14,9,11,0,0,3,1.5,100.0
clones/django/django\django\contrib\gis\feeds.py,151,94,95,13,20,22,2.263157894736842,65.04223608754477
clones/django/django\django\contrib\gis\geometry.py,17,5,12,3,0,2,0.0,100.0
clones/django/django\django\contrib\gis\measure.py,368,180,278,33,16,41,2.4074074074074074,44.54925339391459
clones/django/django\django\contrib\gis\ptr.py,41,24,24,6,7,6,3.25,84.92496148443092
clones/django/django\django\contrib\gis\shortcuts.py,40,22,25,1,4,8,1.0,100.0
clones/django/django\django\contrib\gis\views.py,22,16,17,0,0,4,6.0,59.75099089331454
clones/django/django\django\contrib\gis\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\admin\options.py,21,14,16,0,0,5,3.3333333333333335,64.13591943189549
clones/django/django\django\contrib\gis\admin\__init__.py,29,3,28,0,0,1,0.0,100.0
clones/django/django\django\contrib\gis\db\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\utils.py,28,18,15,0,7,6,2.25,92.08482830905076
clones/django/django\django\contrib\gis\db\backends\__init__.py,0,0,0,0,0,0,0.0,100.0
